visitorScore,homeScore,innings,homeWin
0,0,0,true
1,3,1,true
1,3,2,true
1,3,3,true
1,3,4,true
1,3,5,true
2,6,6,true
2,8,7,true
2,8,8,true
0,0,0,true
1,0,1,true
1,0,2,true
1,0,3,true
1,0,4,true
1,0,5,true
5,2,6,true
5,2,7,true
5,5,8,true
0,0,0,false
0,0,1,false
0,0,2,false
0,0,3,false
0,0,4,false
1,0,5,false
1,0,6,false
1,0,7,false
1,0,8,false
0,0,0,false
3,1,1,false
4,1,2,false
4,4,3,false
5,4,4,false
5,4,5,false
5,4,6,false
8,4,7,false
8,4,8,false
0,0,0,true
0,1,1,true
2,3,2,true
2,3,3,true
3,3,4,true
3,8,5,true
4,8,6,true
4,8,7,true
4,9,8,true
0,0,0,false
0,0,1,false
0,0,2,false
1,0,3,false
1,0,4,false
1,0,5,false
1,0,6,false
1,0,7,false
1,0,8,false
1,1,9,false
1,1,10,false
1,1,11,false
0,0,0,true
0,0,1,true
0,0,2,true
0,0,3,true
0,0,4,true
0,0,5,true
0,0,6,true
0,2,7,true
0,2,8,true
2,2,9,true
2,2,10,true
0,0,0,false
0,4,1,false
0,4,2,false
0,4,3,false
5,4,4,false
8,4,5,false
8,4,6,false
11,4,7,false
14,5,8,false
0,0,0,true
0,0,1,true
2,0,2,true
2,0,3,true
3,0,4,true
4,4,5,true
5,4,6,true
5,5,7,true
5,5,8,true
5,5,9,true
5,5,10,true
0,0,0,true
0,2,1,true
0,2,2,true
0,2,3,true
0,2,4,true
0,2,5,true
0,2,6,true
1,2,7,true
1,2,8,true
0,0,0,true
0,0,1,true
3,0,2,true
3,0,3,true
3,0,4,true
3,0,5,true
3,0,6,true
4,0,7,true
4,6,8,true
0,0,0,false
1,0,1,false
1,0,2,false
2,0,3,false
3,0,4,false
3,0,5,false
3,0,6,false
3,0,7,false
4,0,8,false
0,0,0,false
2,0,1,false
2,0,2,false
2,0,3,false
2,0,4,false
4,0,5,false
4,0,6,false
5,0,7,false
5,1,8,false
0,0,0,true
0,5,1,true
2,5,2,true
2,7,3,true
7,7,4,true
7,9,5,true
7,9,6,true
8,9,7,true
8,9,8,true
0,0,0,false
0,0,1,false
1,0,2,false
2,2,3,false
2,3,4,false
3,3,5,false
4,3,6,false
4,3,7,false
4,4,8,false
4,4,9,false
4,4,10,false
0,0,0,false
1,0,1,false
1,0,2,false
1,0,3,false
1,0,4,false
1,0,5,false
1,0,6,false
1,0,7,false
1,0,8,false
0,0,0,false
0,0,1,false
0,0,2,false
0,0,3,false
0,0,4,false
0,0,5,false
0,0,6,false
0,0,7,false
0,0,8,false
0,0,0,true
0,0,1,true
0,0,2,true
1,1,3,true
1,1,4,true
1,1,5,true
1,1,6,true
1,1,7,true
1,1,8,true
1,1,9,true
1,1,10,true
1,1,11,true
1,1,12,true
1,1,13,true
1,1,14,true
1,1,15,true
1,1,16,true
0,0,0,false
2,0,1,false
2,3,2,false
2,3,3,false
2,4,4,false
3,4,5,false
3,4,6,false
3,5,7,false
3,6,8,false
0,0,0,false
1,0,1,false
1,0,2,false
1,0,3,false
1,0,4,false
1,0,5,false
1,0,6,false
1,0,7,false
1,0,8,false
0,0,0,false
0,0,1,false
0,0,2,false
0,0,3,false
0,0,4,false
0,0,5,false
0,0,6,false
1,0,7,false
1,0,8,false
0,0,0,true
0,0,1,true
0,1,2,true
0,1,3,true
0,3,4,true
1,3,5,true
1,3,6,true
1,5,7,true
1,5,8,true
0,0,0,false
0,0,1,false
1,1,2,false
1,1,3,false
2,1,4,false
2,1,5,false
4,1,6,false
4,1,7,false
4,1,8,false
0,0,0,false
0,0,1,false
0,0,2,false
0,0,3,false
0,1,4,false
0,1,5,false
1,1,6,false
1,1,7,false
2,1,8,false
0,0,0,true
2,1,1,true
2,3,2,true
2,7,3,true
2,8,4,true
2,8,5,true
2,13,6,true
2,13,7,true
2,15,8,true
0,0,0,false
3,0,1,false
3,0,2,false
4,0,3,false
5,1,4,false
6,1,5,false
6,3,6,false
7,3,7,false
9,5,8,false
0,0,0,true
0,2,1,true
0,2,2,true
0,3,3,true
0,5,4,true
0,5,5,true
0,5,6,true
0,5,7,true
0,5,8,true
0,0,0,false
0,2,1,false
2,2,2,false
2,2,3,false
2,2,4,false
5,5,5,false
6,5,6,false
6,5,7,false
6,6,8,false
6,6,9,false
0,0,0,true
0,2,1,true
0,2,2,true
0,2,3,true
1,3,4,true
1,4,5,true
1,4,6,true
1,5,7,true
2,6,8,true
0,0,0,false
1,0,1,false
1,2,2,false
3,3,3,false
5,3,4,false
5,3,5,false
5,3,6,false
5,3,7,false
7,3,8,false
0,0,0,false
1,0,1,false
1,0,2,false
3,0,3,false
4,0,4,false
5,0,5,false
5,0,6,false
6,0,7,false
6,0,8,false
0,0,0,false
1,2,1,false
1,2,2,false
1,3,3,false
1,3,4,false
1,3,5,false
1,3,6,false
1,3,7,false
4,3,8,false
0,0,0,false
1,0,1,false
1,0,2,false
3,0,3,false
3,0,4,false
4,0,5,false
7,3,6,false
7,3,7,false
7,3,8,false
0,0,0,false
4,0,1,false
4,1,2,false
4,3,3,false
6,3,4,false
6,3,5,false
6,5,6,false
6,5,7,false
6,5,8,false
0,0,0,false
0,0,1,false
1,0,2,false
1,0,3,false
2,0,4,false
2,0,5,false
3,1,6,false
3,1,7,false
3,2,8,false
0,0,0,false
0,0,1,false
3,0,2,false
4,1,3,false
4,1,4,false
5,1,5,false
6,2,6,false
8,2,7,false
9,3,8,false
0,0,0,true
0,1,1,true
0,1,2,true
0,2,3,true
0,2,4,true
2,2,5,true
2,3,6,true
3,3,7,true
3,5,8,true
0,0,0,false
2,0,1,false
2,0,2,false
2,0,3,false
2,0,4,false
2,0,5,false
3,1,6,false
5,1,7,false
5,3,8,false
0,0,0,true
0,0,1,true
0,0,2,true
0,0,3,true
0,1,4,true
0,1,5,true
0,5,6,true
0,5,7,true
0,9,8,true
0,0,0,true
0,0,1,true
0,0,2,true
0,0,3,true
0,0,4,true
0,5,5,true
0,6,6,true
0,6,7,true
0,6,8,true
0,0,0,false
0,0,1,false
1,1,2,false
2,1,3,false
3,1,4,false
4,1,5,false
4,1,6,false
4,1,7,false
5,1,8,false
0,0,0,false
4,0,1,false
4,0,2,false
6,0,3,false
6,0,4,false
6,0,5,false
7,0,6,false
7,0,7,false
7,0,8,false
0,0,0,false
1,0,1,false
1,0,2,false
1,0,3,false
1,0,4,false
1,0,5,false
1,0,6,false
1,0,7,false
1,0,8,false
0,0,0,false
0,2,1,false
0,2,2,false
3,2,3,false
3,3,4,false
8,3,5,false
8,4,6,false
8,4,7,false
8,4,8,false
0,0,0,false
0,0,1,false
