visitorScore,homeScore,innings,homeWin
0,0,0,false
1,0,1,false
1,0,2,false
1,0,3,false
1,0,4,false
1,0,5,false
1,0,6,false
1,0,7,false
2,0,8,false
0,0,0,true
0,3,1,true
0,3,2,true
0,4,3,true
1,4,4,true
1,6,5,true
2,6,6,true
2,6,7,true
2,7,8,true
0,0,0,true
0,0,1,true
3,1,2,true
3,4,3,true
3,4,4,true
3,5,5,true
3,5,6,true
4,5,7,true
4,5,8,true
0,0,0,true
0,1,1,true
1,1,2,true
1,1,3,true
1,3,4,true
1,3,5,true
1,6,6,true
3,10,7,true
4,10,8,true
0,0,0,false
0,0,1,false
0,0,2,false
0,0,3,false
0,0,4,false
0,0,5,false
0,0,6,false
0,0,7,false
0,0,8,false
0,0,9,false
0,0,0,false
0,1,1,false
0,1,2,false
3,1,3,false
4,1,4,false
5,1,5,false
5,1,6,false
5,1,7,false
5,1,8,false
0,0,0,false
0,0,1,false
0,0,2,false
0,2,3,false
1,2,4,false
7,2,5,false
9,2,6,false
10,2,7,false
12,2,8,false
0,0,0,true
0,0,1,true
0,1,2,true
0,2,3,true
0,3,4,true
0,3,5,true
0,4,6,true
0,5,7,true
0,5,8,true
0,0,0,true
0,0,1,true
0,1,2,true
0,1,3,true
0,1,4,true
0,1,5,true
2,1,6,true
2,5,7,true
3,5,8,true
0,0,0,false
0,0,1,false
0,0,2,false
0,0,3,false
4,0,4,false
6,0,5,false
6,1,6,false
6,1,7,false
6,2,8,false
0,0,0,true
0,0,1,true
0,0,2,true
0,0,3,true
0,0,4,true
0,0,5,true
0,0,6,true
0,2,7,true
0,2,8,true
0,0,0,true
0,0,1,true
0,0,2,true
0,1,3,true
0,1,4,true
0,1,5,true
0,2,6,true
0,2,7,true
0,2,8,true
0,0,0,true
0,1,1,true
0,3,2,true
0,3,3,true
0,7,4,true
0,7,5,true
1,9,6,true
2,12,7,true
2,12,8,true
0,0,0,true
0,0,1,true
0,0,2,true
0,0,3,true
0,1,4,true
0,1,5,true
0,3,6,true
0,5,7,true
0,5,8,true
0,0,0,true
1,0,1,true
2,3,2,true
2,7,3,true
2,7,4,true
2,8,5,true
4,10,6,true
4,12,7,true
4,12,8,true
0,0,0,true
0,0,1,true
0,0,2,true
0,0,3,true
0,4,4,true
0,4,5,true
0,4,6,true
0,6,7,true
0,6,8,true
0,0,0,false
0,0,1,false
0,0,2,false
0,0,3,false
0,1,4,false
0,1,5,false
1,1,6,false
2,1,7,false
2,1,8,false
0,0,0,true
0,0,1,true
0,0,2,true
2,3,3,true
2,3,4,true
2,3,5,true
2,4,6,true
2,4,7,true
2,4,8,true
0,0,0,false
3,0,1,false
3,0,2,false
3,3,3,false
4,4,4,false
4,4,5,false
5,4,6,false
8,4,7,false
9,5,8,false
0,0,0,false
0,0,1,false
0,0,2,false
0,0,3,false
0,0,4,false
0,0,5,false
0,2,6,false
0,2,7,false
4,2,8,false
0,0,0,false
0,2,1,false
1,3,2,false
1,3,3,false
1,6,4,false
2,6,5,false
3,6,6,false
3,6,7,false
4,6,8,false
0,0,0,true
0,0,1,true
0,2,2,true
0,3,3,true
0,3,4,true
0,4,5,true
0,4,6,true
0,4,7,true
0,4,8,true
0,0,0,false
0,0,1,false
0,1,2,false
0,3,3,false
0,3,4,false
0,3,5,false
0,3,6,false
3,4,7,false
4,4,8,false
4,4,9,false
4,4,10,false
4,4,11,false
4,4,12,false
0,0,0,false
3,1,1,false
4,1,2,false
4,3,3,false
4,3,4,false
4,3,5,false
4,4,6,false
4,4,7,false
8,4,8,false
0,0,0,false
0,0,1,false
0,0,2,false
0,0,3,false
0,1,4,false
0,1,5,false
2,1,6,false
3,1,7,false
3,1,8,false
0,0,0,false
0,0,1,false
0,0,2,false
0,0,3,false
1,1,4,false
1,1,5,false
1,1,6,false
1,1,7,false
1,1,8,false
0,0,0,true
0,0,1,true
0,0,2,true
0,3,3,true
0,3,4,true
0,4,5,true
3,8,6,true
6,8,7,true
6,8,8,true
0,0,0,true
0,0,1,true
0,0,2,true
0,0,3,true
0,3,4,true
0,3,5,true
0,3,6,true
0,3,7,true
0,3,8,true
0,0,0,true
1,0,1,true
3,1,2,true
3,1,3,true
3,4,4,true
4,6,5,true
4,6,6,true
4,7,7,true
4,8,8,true
0,0,0,true
0,0,1,true
0,2,2,true
2,2,3,true
2,5,4,true
2,5,5,true
3,5,6,true
3,7,7,true
3,7,8,true
0,0,0,true
1,0,1,true
1,0,2,true
1,0,3,true
1,0,4,true
1,2,5,true
1,2,6,true
1,2,7,true
1,3,8,true
0,0,0,true
0,1,1,true
0,1,2,true
1,4,3,true
2,4,4,true
2,4,5,true
2,4,6,true
2,4,7,true
2,4,8,true
0,0,0,true
3,0,1,true
3,1,2,true
4,3,3,true
4,3,4,true
6,3,5,true
6,3,6,true
6,5,7,true
6,8,8,true
0,0,0,false
0,0,1,false
0,0,2,false
0,0,3,false
0,0,4,false
0,2,5,false
3,2,6,false
3,2,7,false
3,2,8,false
0,0,0,true
0,0,1,true
0,0,2,true
0,2,3,true
0,4,4,true
0,4,5,true
0,4,6,true
0,4,7,true
2,4,8,true
0,0,0,true
1,1,1,true
1,1,2,true
1,5,3,true
1,5,4,true
2,6,5,true
2,11,6,true
3,11,7,true
5,18,8,true
0,0,0,true
0,2,1,true
1,2,2,true
2,2,3,true
2,3,4,true
2,6,5,true
2,6,6,true
2,6,7,true
2,6,8,true
0,0,0,false
3,0,1,false
3,0,2,false
4,0,3,false
4,3,4,false
5,3,5,false
5,3,6,false
5,4,7,false
7,4,8,false
0,0,0,false
0,0,1,false
0,0,2,false
0,0,3,false
0,0,4,false
0,0,5,false
0,0,6,false
3,0,7,false
3,3,8,false
3,3,9,false
3,3,10,false
0,0,0,false
1,0,1,false
2,0,2,false
3,0,3,false
3,0,4,false
3,0,5,false
3,0,6,false
3,0,7,false
5,0,8,false
0,0,0,true
0,0,1,true
0,0,2,true
0,0,3,true
0,2,4,true
0,2,5,true
0,2,6,true
0,3,7,true
0,3,8,true
0,0,0,true
0,1,1,true
0,1,2,true
1,3,3,true
1,3,4,true
1,3,5,true
1,3,6,true
1,3,7,true
1,3,8,true
0,0,0,true
0,0,1,true
0,0,2,true
1,3,3,true
1,3,4,true
1,4,5,true
2,5,6,true
2,5,7,true
5,5,8,true
0,0,0,true
0,0,1,true
0,1,2,true
0,1,3,true
0,3,4,true
0,8,5,true
0,8,6,true
0,8,7,true
3,9,8,true
0,0,0,true
0,1,1,true
0,1,2,true
0,1,3,true
2,1,4,true
